Exchange,Short Symbol,Symbol Code,Trading Symbol,ISIN,Full Name
NSECM,679HR31,SG,679HR31-SG,IN1620210022,SDL HR 6.79% 2031-SG
NSECM,990SCL26I,AV,990SCL26I-AV,INE148I07OR4,SEC RE NCD 9.90% SR IV-AV
NSECM,IRCON,EQ,IRCON-EQ,INE962Y01021,IRCON INTERNATIONAL LTD-EQ
NSECM,699RJ41,SG,699RJ41-SG,IN2920200705,SDL RJ 6.99% 2041-SG
NSECM,678KA32,SG,678KA32-SG,IN1920200269,SDL KA 6.78% 2032-SG
NSECM,689GA35,SG,689GA35-SG,IN1420250046,SDL GA 6.89% 2035-SG
NSECM,RUCHIRA,EQ,RUCHIRA-EQ,INE803H01014,RUCHIRA PAPERS LIMITED-EQ
NSECM,SAROJA,SM,SAROJA-SM,INE0PCL01011,SAROJA PHARMA INDUS IND L-SM
NSECM,699MP41,SG,699MP41-SG,IN2120210041,SDL MP 6.99% 2041-SG
NSECM,729GA29A,SG,729GA29A-SG,IN1420190143,SDL GA 7.29% 2029-SG
NSECM,733RJ44,SG,733RJ44-SG,IN2920240164,SDL RJ 7.33% 2044-SG
NSECM,890NCPL28,N1,890NCPL28-N1,INE357L07473,NOMURA 8.90% 2028 SR 02-N1
NSECM,713MH37A,SG,713MH37A-SG,IN2220240351,SDL MH 7.13% 2037-SG
NSECM,ZEEL,EQ,ZEEL-EQ,INE256A01028,ZEE ENTERTAINMENT ENT LTD-EQ
NSECM,683AP34,SG,683AP34-SG,IN1020250073,SDL AP 6.83% 2034-SG
NSECM,718HP32,SG,718HP32-SG,IN1720190108,SDL HP 7.18% 2032-SG
NSECM,TCL26,NG,TCL26-NG,INE976I07CU7,TCL MARKET LINK 2026 SRA-NG
NSECM,930APMD34,N0,930APMD34-N0,INE0TLC07044,APMDC 9.30% 2034 STRPP H-N0
NSECM,712KA33,SG,712KA33-SG,IN1920240059,SDL KA 7.12% 2033-SG
NSECM,735AS39,SG,735AS39-SG,IN1220240049,SDL AS 7.35% 2039-SG
NSECM,PGHH,EQ,PGHH-EQ,INE179A01014,P&G HYGIENE & HEALTH CARE-EQ
NSECM,AAKASH,BE,AAKASH-BE,INE087Z01024,AAKASH EXPLORATION SER L-BE
NSECM,764RL27,NM,764RL27-NM,INE020B08EX7,REC 7.64% 2027 SR 231A-NM
NSECM,ORBTEXP,EQ,ORBTEXP-EQ,INE231G01010,ORBIT EXPORTS LIMITED-EQ
NSECM,642UP30,SG,642UP30-SG,IN3320200154,SDL UP 6.42% 2030-SG
NSECM,POONAWALLA,EQ,POONAWALLA-EQ,INE511C01022,POONAWALLA FINCORP LTD-EQ
NSECM,CONSUMER,EQ,CONSUMER-EQ,INF769K01NS5,MIRAEAMC - CONSUMER-EQ
NSECM,RADIOCITY,EQ,RADIOCITY-EQ,INE919I01024,MUSIC BROADCAST LIMITED-EQ
NSECM,KERNEX,EQ,KERNEX-EQ,INE202H01019,KERNEX MICROSYS(I) LTD-EQ
NSECM,GATECHDVR,EQ,GATECHDVR-EQ,INE224E01036,GACM TECHNOLOGIES LIMITED-EQ
NSECM,KOTYARK,EQ,KOTYARK-EQ,INE0J0B01017,KOTYARK INDUSTRIES LTD-EQ
NSECM,713TN30,SG,713TN30-SG,IN3120210460,SDL TN 7.13% 2030-SG
NSECM,776HP33,SG,776HP33-SG,IN1720220210,SDL HP 7.76% 2033-SG
NSECM,647IRFC28,N0,647IRFC28-N0,INE053F08510,IRFC 6.47% 2028 SR 191A-N0
NSECM,747CG31,SG,747CG31-SG,IN3520230209,SDL CG 7.47% 2031-SG
NSECM,KRONOX,EQ,KRONOX-EQ,INE0ATZ01017,KRONOX LAB SCIENCES LTD-EQ
NSECM,659UP30,SG,659UP30-SG,IN3320200162,SDL UP 6.59% 2030-SG
NSECM,76GJ33,SG,76GJ33-SG,IN1520230245,SDL GJ 7.6% 2033-SG
NSECM,UNIVAFOODS,BE,UNIVAFOODS-BE,INE275F01019,UNIVA FOODS LIMITED-BE
NSECM,714TS42,SG,714TS42-SG,IN4520240339,SDL TS 7.14% 2042-SG
NSECM,DBEIL,EQ,DBEIL-EQ,INE0OPA01019,DEEPAK BUILDERS & ENG I L-EQ
NSECM,774TS48,SG,774TS48-SG,IN4520220463,SDL TS 7.74% 2048-SG
NSECM,724UP33,SG,724UP33-SG,IN3320250142,SDL UP 7.24% 2033-SG
NSECM,F13RP,MF,F13RP-MF,INF582M01IZ3,UNIONAMC - F13RP-MF
NSECM,760GFL30,N0,760GFL30-N0,INE02KN07089,GFL 7.60% 2030 SR D1-N0
NSECM,66KA37,SG,66KA37-SG,IN1920200574,SDL KA 6.6% 2037-SG
